trade_id,direction,momentum_status,roc_atr_3,alignment_status,alignment,structure_status,origin_dist_atr,context_status,weekday,all_available
L00155,SHORT,AVAILABLE,1.1338810087800666,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,1.4571437574390025,AVAILABLE,Wednesday,True
L00156,LONG,AVAILABLE,0.6613148875771677,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,2.3871880833255577,AVAILABLE,Wednesday,True
L00157,LONG,AVAILABLE,1.2726387391580916,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.2115886323802991,AVAILABLE,Wednesday,True
L00158,SHORT,AVAILABLE,-0.644692473605705,AVAILABLE,AGAINST_SINGLE,AVAILABLE,0.813566379527834,AVAILABLE,Wednesday,True
L00159,SHORT,AVAILABLE,0.5828404849612138,AVAILABLE,NEUTRAL,AVAILABLE,1.6498972071488576,AVAILABLE,Thursday,True
L00160,SHORT,AVAILABLE,1.6477283512370031,AVAILABLE,NEUTRAL,AVAILABLE,1.8918120298466203,AVAILABLE,Thursday,True
L00161,LONG,AVAILABLE,1.1554577990983914,AVAILABLE,NEUTRAL,AVAILABLE,2.305671302038273,AVAILABLE,Thursday,True
L00162,SHORT,AVAILABLE,1.1495173710713746,AVAILABLE,NEUTRAL,AVAILABLE,1.803787260293304,AVAILABLE,Thursday,True
L00163,LONG,AVAILABLE,0.1644204486203568,AVAILABLE,NEUTRAL,AVAILABLE,3.7128973570482144,AVAILABLE,Thursday,True
L00164,LONG,AVAILABLE,0.9771589528995734,AVAILABLE,NEUTRAL,AVAILABLE,1.5035539858616565,AVAILABLE,Thursday,True
L00166,SHORT,AVAILABLE,1.959596894943295,AVAILABLE,NEUTRAL,AVAILABLE,1.721821888446444,AVAILABLE,Thursday,True
L00167,LONG,AVAILABLE,1.1899733383815851,AVAILABLE,AGAINST_SINGLE,AVAILABLE,2.289173395376009,AVAILABLE,Friday,True
L00168,SHORT,AVAILABLE,2.4440355667965874,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.3373128652643995,AVAILABLE,Friday,True
L00169,SHORT,AVAILABLE,1.042432749522564,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.871253189163086,AVAILABLE,Friday,True
L00170,SHORT,AVAILABLE,0.9681317176637853,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.58566766058068,AVAILABLE,Friday,True
L00174,LONG,AVAILABLE,1.5517624168823334,AVAILABLE,AGAINST_SINGLE,AVAILABLE,2.3411560843908314,AVAILABLE,Sunday,True
L00175,LONG,AVAILABLE,1.4108044984227988,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.8855420020367164,AVAILABLE,Monday,True
L00176,LONG,AVAILABLE,1.4108392994242207,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.868697150631767,AVAILABLE,Monday,True
L00178,SHORT,AVAILABLE,1.6718064149824745,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.1359156039965217,AVAILABLE,Monday,True
L00179,SHORT,AVAILABLE,0.7383941457996538,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.6666185697312887,AVAILABLE,Monday,True
L00180,SHORT,AVAILABLE,1.2314949626577976,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.319419493934748,AVAILABLE,Monday,True
L00181,SHORT,AVAILABLE,1.8827133259977151,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.7482271485535794,AVAILABLE,Monday,True
L00182,SHORT,AVAILABLE,-0.062598542277866,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.559898955755465,AVAILABLE,Monday,True
L00183,SHORT,AVAILABLE,1.5730739848875466,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.82739710380461,AVAILABLE,Tuesday,True
