time,time_server,time_utc,open,high,low,close,spread
1787253300,1787253300,1787253301,4527.461,4529.455,4525.566,4525.758,260
1787253600,1787253600,1787253601,4525.93,4528.038,4523.546,4526.964,260
1787253900,1787253900,1787253901,4526.818,4527.858,4522.548,4522.839,260
1787254200,1787254200,1787254201,4522.778,4524.59,4521.883,4524.067,260
1787254500,1787254500,1787254501,4524.012,4529.604,4522.822,4528.823,260
1787254800,1787254800,1787254801,4528.823,4529.023,4526.11,4526.244,260
1787255100,1787255100,1787255101,4526.026,4530.362,4524.742,4528.6,260
1787255400,1787255400,1787255401,4528.542,4532.107,4527.863,4530.794,260
1787255700,1787255700,1787255701,4530.817,4531.582,4526.746,4528.734,260
1787256000,1787256000,1787256001,4528.395,4529.076,4525.832,4527.129,260
1787256300,1787256300,1787256301,4527.174,4527.988,4522.538,4522.967,260
1787256600,1787256600,1787256601,4523.033,4524.99,4522.239,4522.501,260
1787256900,1787256900,1787256901,4522.462,4522.919,4520.689,4522.076,260
1787257200,1787257200,1787257201,4521.955,4522.34,4520.488,4521.484,260
1787257500,1787257500,1787257501,4521.288,4522.045,4520.395,4520.594,260
1787257800,1787257800,1787257801,4521.004,4521.12,4516.701,4518.135,260
1787258100,1787258100,1787258101,4518.114,4518.78,4517.209,4518.101,260
1787258400,1787258400,1787258401,4517.828,4518.915,4517.557,4518.192,260
1787258700,1787258700,1787258701,4518.256,4519.099,4517.758,4518.463,260
1787259000,1787259000,1787259001,4518.741,4521.345,4518.115,4519.566,260
1787259300,1787259300,1787259301,4519.899,4520.472,4518.74,4518.74,260
1787263200,1787263200,1787263201,4518.959,4521.197,4518.959,4519.848,260
1787263500,1787263500,1787263501,4519.951,4520.878,4517.979,4517.979,260
1787263800,1787263800,1787263801,4517.949,4519.676,4516.767,4518.291,260
1787264100,1787264100,1787264101,4518.298,4520.018,4518.298,4519.603,260
1787264400,1787264400,1787264401,4519.578,4520.101,4517.766,4518.518,260
1787264700,1787264700,1787264701,4518.544,4520.796,4518.271,4519.49,260
1787265000,1787265000,1787265001,4519.525,4520.291,4518.537,4520.02,260
1787265300,1787265300,1787265301,4520.293,4522.637,4519.512,4521.42,260
1787265600,1787265600,1787265601,4521.682,4523.721,4521.123,4522.543,260
1787265900,1787265900,1787265901,4522.823,4523.711,4519.501,4522.015,260
1787266200,1787266200,1787266201,4522.015,4524.46,4521.68,4523.773,260
1787266500,1787266500,1787266501,4523.712,4524.502,4523.404,4524.139,260
1787266800,1787266800,1787266801,4524.125,4529.866,4523.378,4529.032,260
1787267100,1787267100,1787267101,4529.143,4530.352,4524.833,4527.095,260
1787267400,1787267400,1787267401,4527.098,4532.86,4527.098,4531.83,260
1787267700,1787267700,1787267701,4531.68,4532.361,4529.328,4531.519,260
1787268000,1787268000,1787268001,4531.535,4531.535,4527.989,4528.926,260
1787268300,1787268300,1787268301,4528.926,4530.555,4522.599,4526.923,260
1787268600,1787268600,1787268601,4527.251,4528.721,4522.163,4523.853,260
1787268900,1787268900,1787268901,4523.81,4524.509,4520.874,4523.615,260
1787269200,1787269200,1787269201,4523.418,4525.017,4523.41,4524.414,260
1787269500,1787269500,1787269501,4524.399,4527.475,4523.088,4527.18,260
1787269800,1787269800,1787269801,4527.319,4528.263,4525.827,4527.444,260
1787270100,1787270100,1787270101,4527.424,4527.695,4525.867,4526.459,260
1787270400,1787270400,1787270401,4526.34,4527.58,4522.083,4522.94,260
1787270700,1787270700,1787270701,4522.675,4523.204,4519.734,4520.21,260
1787271000,1787271000,1787271001,4520.156,4523.148,4517.301,4518.783,260
1787271300,1787271300,1787271301,4518.659,4519.785,4514.417,4517.649,260
