cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,n_trades,n_win,n_loss,win_rate,profit_factor,expectancy_r,net_r,net_usd,avg_winner_r,avg_loser_r,max_drawdown_r,max_drawdown_usd,longest_losing_streak,total_costs_usd,swap_total_usd,commission_total_usd,n_long,n_short
cfg_0051,8,200,1.2,3.0,1,2060,488,1562,0.23804878048780487,0.8976351495429947,-0.08049903842639358,-165.82801915837078,-1866.0110217439956,2.957810957837006,-1.0371128784626626,173.3897943293626,2188.5763669034495,32,585.744500000028,-159.00499999999997,0.0,1049,1011
cfg_0052,8,200,1.2,3.0,2,2060,488,1562,0.23804878048780487,0.8976351495429947,-0.08049903842639358,-165.82801915837078,-1866.0110217439956,2.957810957837006,-1.0371128784626626,173.3897943293626,2188.5763669034495,32,585.744500000028,-159.00499999999997,0.0,1049,1011
cfg_0053,8,200,1.2,3.0,3,2060,488,1562,0.23804878048780487,0.8976351495429947,-0.08049903842639358,-165.82801915837078,-1866.0110217439956,2.957810957837006,-1.0371128784626626,173.3897943293626,2188.5763669034495,32,585.744500000028,-159.00499999999997,0.0,1049,1011
cfg_0054,8,200,1.7,0.5,1,5140,3483,1657,0.6776264591439689,0.9364649598865498,-0.021261933773430226,-109.28633959543137,-382.96415270936507,0.46237161486063344,-1.0378555667803364,117.21431505830488,940.7968678100497,6,1121.9910000000782,-61.98500000000005,0.0,2543,2597
cfg_0055,8,200,1.7,0.5,2,5140,3483,1657,0.6776264591439689,0.9364649598865498,-0.021261933773430226,-109.28633959543137,-382.96415270936507,0.46237161486063344,-1.0378555667803364,117.21431505830488,940.7968678100497,6,1121.9910000000782,-61.98500000000005,0.0,2543,2597
cfg_0056,8,200,1.7,0.5,3,5140,3483,1657,0.6776264591439689,0.9364649598865498,-0.021261933773430226,-109.28633959543137,-382.96415270936507,0.46237161486063344,-1.0378555667803364,117.21431505830488,940.7968678100497,6,1121.9910000000782,-61.98500000000005,0.0,2543,2597
cfg_0057,8,200,1.7,1.0,1,4485,2232,2253,0.49765886287625416,0.9212594178679638,-0.04098526569497304,-183.81891664195408,-1484.6339490493176,0.9635612610392384,-1.036168509223939,213.10461466047113,1712.044245450891,9,1037.5520000000731,-108.8780000000002,0.0,2252,2233
cfg_0058,8,200,1.7,1.0,2,4485,2232,2253,0.49765886287625416,0.9212594178679638,-0.04098526569497304,-183.81891664195408,-1484.6339490493176,0.9635612610392384,-1.036168509223939,213.10461466047113,1712.044245450891,9,1037.5520000000731,-108.8780000000002,0.0,2252,2233
cfg_0059,8,200,1.7,1.0,3,4485,2232,2253,0.49765886287625416,0.9212594178679638,-0.04098526569497304,-183.81891664195408,-1484.6339490493176,0.9635612610392384,-1.036168509223939,213.10461466047113,1712.044245450891,9,1037.5520000000731,-108.8780000000002,0.0,2252,2233
cfg_0060,8,200,1.7,1.5,1,3631,1440,2190,0.39669421487603307,0.9290796983998064,-0.04428649976299141,-160.80428063942182,-1381.0220597885493,1.4624361248640305,-1.0353398181814721,173.45000548597503,1633.6915784043115,13,884.7625000000596,-132.05500000000015,0.0,1831,1800
