cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,full_expectancy_r,full_n_trades,sub1_expectancy_r,sub1_n_trades,sub2_expectancy_r,sub2_n_trades,sub3_expectancy_r,sub3_n_trades,positive_subperiods
cfg_3447,23,500,1.2,2.0,-0.1128931572864445,1338,-0.17407618428233504,458,-0.0695769621306709,400,-0.09195367148560775,487,0
cfg_3450,23,500,1.2,2.5,-0.0852560997159834,1148,-0.09707949616837744,427,-0.01220788615547878,329,-0.13414098522002119,400,0
cfg_3453,23,500,1.2,3.0,-0.0432470029276393,995,-0.05110534889718369,373,0.02265397124015736,286,-0.08371387583283411,342,1
cfg_3456,23,500,1.7,0.5,-0.0243532175250091,2230,-0.05280123542680861,735,0.03171441702924564,711,-0.04593949988874983,785,1
cfg_3459,23,500,1.7,1.0,-0.0443559049613145,1936,-0.10978574404553798,646,0.043850276587731496,604,-0.057499437159852486,686,1
cfg_3462,23,500,1.7,1.5,-0.0465219735902667,1600,-0.12557947668653402,541,0.06665242858143099,496,-0.06275490745613323,569,1
cfg_3465,23,500,1.7,2.0,-0.1084744101523743,1313,-0.1661328430612383,444,-0.05708296790542587,395,-0.09850779694753477,481,0
cfg_3468,23,500,1.7,2.5,-0.0797676767686151,1131,-0.08597532213357056,415,-0.013264956996663798,326,-0.12925397080033912,398,0
cfg_3471,23,500,1.7,3.0,-0.0554947189573523,974,-0.0453487133636518,358,0.023440487543992212,282,-0.12526730095441388,340,1
cfg_3474,23,500,2.2,0.5,-0.0138571141952956,2218,-0.025215157507490572,728,0.03539929179435253,713,-0.045800191858307644,778,1
cfg_3477,23,500,2.2,1.0,-0.0358718717536781,1922,-0.09953215965014596,643,0.051147240532955475,602,-0.04984414173158575,677,1
cfg_3480,23,500,2.2,1.5,-0.0398003617837572,1570,-0.10083890625113552,530,0.05023157356350985,492,-0.055840098009080845,555,1
cfg_3483,23,500,2.2,2.0,-0.1053931745903439,1277,-0.18370809898564747,436,-0.041704226451186224,392,-0.08638197418567947,456,0
cfg_3486,23,500,2.2,2.5,-0.069297207459035,1100,-0.09385660101113341,399,-0.004881886635141132,320,-0.0963826862805229,388,0
cfg_3489,23,500,2.2,3.0,-0.0656196289743291,956,-0.07886240570635501,350,0.0168323103459971,280,-0.11443301952346926,332,1
