ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,valid_bars,orden_viva,max_bars_trade,fixed_lot,entrada_viva,una_operacion_a_la_vez,n_sig,n_fill,n_win,n_loss,n_none,n_open_timeout,n_skip_stop,n_skip_concurrency,n_trades,win_rate,expectancy_r,expectancy_usd,max_drawdown_r
8,350,0.2,1.0,1,10,True,500,0.01,False,True,7765,4190,2106,2084,1230,0,16,2328,4190,0.5026252983293557,0.2176618121131539,0.01916129140912969,35.050445519094566
8,350,0.2,1.0,2,10,True,500,0.01,False,True,7765,4190,2106,2084,1230,0,16,2328,4190,0.5026252983293557,0.2176618121131539,0.01916129140912969,35.050445519094566
8,350,0.2,1.0,3,10,True,500,0.01,False,True,7765,4190,2106,2084,1230,0,16,2328,4190,0.5026252983293557,0.2176618121131539,0.01916129140912969,35.050445519094566
8,350,0.2,1.5,1,10,True,500,0.01,False,True,7765,3728,1498,2229,714,1,16,3306,3728,0.40193184867185405,0.3623858788616944,0.029602677840145204,39.627621603403895
8,350,0.2,1.5,2,10,True,500,0.01,False,True,7765,3728,1498,2229,714,1,16,3306,3728,0.40193184867185405,0.3623858788616944,0.029602677840145204,39.627621603403895
8,350,0.2,1.5,3,10,True,500,0.01,False,True,7765,3728,1498,2229,714,1,16,3306,3728,0.40193184867185405,0.3623858788616944,0.029602677840145204,39.627621603403895
8,350,0.2,2.0,1,10,True,500,0.01,False,True,7765,3106,1034,2069,426,2,16,4217,3105,0.33322591040928135,0.442399965827032,0.038125705277619465,31.174919927676967
8,350,0.2,2.0,2,10,True,500,0.01,False,True,7765,3106,1034,2069,426,2,16,4217,3105,0.33322591040928135,0.442399965827032,0.038125705277619465,31.174919927676967
8,350,0.2,2.0,3,10,True,500,0.01,False,True,7765,3106,1034,2069,426,2,16,4217,3105,0.33322591040928135,0.442399965827032,0.038125705277619465,31.174919927676967
8,350,0.2,2.5,1,10,True,500,0.01,False,True,7765,2625,744,1875,253,5,16,4871,2624,0.284077892325315,0.5541886938804904,0.04981420332592731,25.228922588194337
8,350,0.2,2.5,2,10,True,500,0.01,False,True,7765,2625,744,1875,253,5,16,4871,2624,0.284077892325315,0.5541886938804904,0.04981420332592731,25.228922588194337
8,350,0.2,2.5,3,10,True,500,0.01,False,True,7765,2625,744,1875,253,5,16,4871,2624,0.284077892325315,0.5541886938804904,0.04981420332592731,25.228922588194337
8,350,0.2,3.0,1,10,True,500,0.01,False,True,7765,2193,520,1661,160,11,16,5396,2192,0.2384227418615314,0.6392958677926438,0.06681272746159797,26.81935424539381
8,350,0.2,3.0,2,10,True,500,0.01,False,True,7765,2193,520,1661,160,11,16,5396,2192,0.2384227418615314,0.6392958677926438,0.06681272746159797,26.81935424539381
8,350,0.2,3.0,3,10,True,500,0.01,False,True,7765,2193,520,1661,160,11,16,5396,2192,0.2384227418615314,0.6392958677926438,0.06681272746159797,26.81935424539381
8,350,0.7,0.5,1,10,True,500,0.01,False,True,7765,4430,3035,1395,2116,0,16,1203,4430,0.6851015801354402,0.11540877661176713,0.01042880916984403,44.346222968862705
8,350,0.7,0.5,2,10,True,500,0.01,False,True,7765,4430,3035,1395,2116,0,16,1203,4430,0.6851015801354402,0.11540877661176713,0.01042880916984403,44.346222968862705
8,350,0.7,0.5,3,10,True,500,0.01,False,True,7765,4430,3035,1395,2116,0,16,1203,4430,0.6851015801354402,0.11540877661176713,0.01042880916984403,44.346222968862705
8,350,0.7,1.0,1,10,True,500,0.01,False,True,7765,4129,2069,2060,1154,0,16,2465,4129,0.5010898522644708,0.2336888816803004,0.020761929245948083,35.94279990139273
8,350,0.7,1.0,2,10,True,500,0.01,False,True,7765,4129,2069,2060,1154,0,16,2465,4129,0.5010898522644708,0.2336888816803004,0.020761929245948083,35.94279990139273
